"","score"
"10x13",0.00765247972906965
"10x14",0.0916018105441402
"10x15",0.0154352144322511
"10x16",0.0130254974111824
"10x17",0.0555537464586929
"10x18",0.0147188120746361
"10x19",0.03106581132567
"10x20",0.0409977531016966
"10x21",0.0113973102347846
"10x22",0.0188544075026865
"10x23",0.0811488488716663
"10x24",0.0204174671920284
"10x25",0.0176169852486242
"10x26",0.0348106418313849
"10x27",0.0231853853919047
"10x28",0.0191474811944381
"10x29",0.02071054088378
"11x13",0.0327591259891237
"11x14",0.0440587449933244
"11x15",0.038490344850044
"11x16",0.0295027516363281
"11x18",0.0111693640300889
"11x19",0.0266697059493959
"11x20",0.00664300367970302
"11x21",0
"11x22",0.0437982350451008
"11x23",0.0340942394737699
"11x24",0.0222410368295939
"11x25",0.0297958253280797
"11x26",0.031033247582142
"11x27",0.0328893809632355
"11x28",0.0486827965742942
"11x29",0.0419746654075352
"12x13",0.00996450551955453
"12x14",0.0455241134520825
"12x15",0.00511250773388909
"12x16",0.0198638835520531
"12x17",0.0256927936435573
"12x18",0.0175844215050962
"12x19",0.030349408968055
"12x20",0
"12x21",0.0203849034485004
"12x22",0.0278745644599303
"12x23",0
"12x24",0
"12x25",0.031033247582142
"12x26",0.0387182910547397
"12x27",0.00143280471523006
"12x28",0.0217525806766746
"13x14",0.0118857663877039
"13x15",0.00677325865381484
"13x16",0.0186590250415188
"13x17",0.0413559542805041
"13x18",0.0380018886971246
"13x19",0.0242925526718552
"13x20",0.0615129115243088
"13x21",0.0530463382070403
"13x22",0.0252043374906379
"13x23",0.0211989970366993
"13x24",0.0277443094858185
"13x25",0.0175518577615683
"13x26",0.0198964472955811
"13x27",0.064345957211241
"13x28",0.0457194959132502
"14x14",0.0120811488488717
"14x15",0.0532091569246801
"14x16",0
"14x17",0.0311309388127259
"14x18",0.0552606727669413
"14x20",0.0180077501709597
"14x21",0
"14x22",0.0181380051450715
"14x23",0.0528183920023446
"14x24",0.0423979940733987
"14x25",0.0371226676218698
"14x26",0.0279071282034583
"14x27",0.0526881370282328
"14x28",0.0350060242925527
"15x14",0
"15x15",0.0440913087368524
"15x17",0.0147188120746361
"15x18",0.0243251164153831
"15x19",0.0211338695496434
"15x20",0.00371226676218698
"15x21",0.0276791819987626
"15x22",0.0222410368295939
"15x23",0.0456869321697222
"15x24",0
"15x25",0.0185938975544629
"15x26",0.0173239115568726
"15x27",0.0368621576736462
"16x16",0.00504738024683318
"16x17",0
"16x18",0.00755478849848579
"16x19",0.0412908267934482
"16x20",0.0196033736038295
"16x21",0.0152398319710834
"16x22",0
"16x23",0.0324009248103162
"16x24",0.0185938975544629
"16x25",0
"16x26",0.0375134325442053
"16x27",0.0212315607802273
"17x15",0.025855612361197
"17x16",0.0135790810511576
"17x17",0.0477058842684555
"17x18",0.0342570581914097
"17x19",0.000521019896447296
"17x20",0.0589729395291283
"17x21",0.0149793220228597
"17x22",0.047347683089648
"17x24",0.0188218437591586
"17x25",0.0147188120746361
"18x15",0.00859682829138038
"18x16",0.0211013058061155
"18x17",0.000195382461167736
"18x22",0.0193428636556058
"18x23",0.00608942003972777
"18x24",0.0286235305610733
"18x25",0.0280373831775701
"18x26",0.0281676381516819
"18x27",0.00032563743527956
"19x19",0
"19x20",0
"19x21",0.0170959653521769
"19x23",0.0232830766224885
"19x24",0.00687094988439871
"19x25",0.0523624995929532
"19x26",0.0271581621023153
"20x17",0.0165423817122016
"20x18",0.0294376241492722
"20x19",0.0438307987886287
"20x21",0.0141977921781888
"20x22",0.0583216646585691
"20x23",0.0490409977531017
"20x24",0.0323032335797323
"20x25",0.0626200788042593
"20x26",0.0264417597447003
"21x18",0.0205477221661402
"21x19",0.0291119867139926
"21x20",0.0314891399915334
"21x21",0.00130254974111824
"21x22",0.024390243902439
"21x24",0.0428538864827901
"21x25",0.0323683610667882
"22x17",0.0222410368295939
"22x18",0.0294050604057442
"22x19",0.00967143182780292
"22x20",0.0355921716760559
"22x21",0.0711517796085838
"22x22",0.0164446904816178
"22x23",0.0265068872317562
"22x25",0.0272558533328991
"22x26",0.0108762903383373
"23x17",0.0225341105213455
"23x18",0.0168028916604253
"23x20",0.0380344524406526
"23x21",0.0248461363118304
"23x22",0.00823862711257286
"24x18",0.0609593278843336
"24x22",0.0347129506008011
"24x23",0.0345826956266892
"24x25",0.0423654303298707
"25x21",0
"25x22",0.0588101208114885
"25x23",0.0194405548861897
"25x24",0.0442541274544922
"25x25",0.0517112247223941
"26x21",0.0606011267055261
"26x22",0
"26x23",0.0311960662997818
"26x24",0.0218502719072585
"26x25",0
"27x23",0.0232505128789606
"27x24",0.022924875443681
"27x25",0.0235435865707122
"28x24",0.0439610537627406
"28x25",0.0549024715881338
"4x11",0.0234458953401283
"4x12",0.0189195349897424
"4x13",0.0431469601745417
"4x14",0.0353967892148881
"4x15",0.0197010648344134
"4x16",0.0366667752124784
"4x17",0.0430492689439578
"4x18",0.0492363802142694
"4x19",0.0225341105213455
"4x20",0.023641277801296
"4x21",0.0304796639421668
"5x11",0.0379041974665408
"5x12",0
